STATISTIC Label,Graduation Year,Field of Study,NFQ Level,Institutions,UNIT,VALUE
Number of Graduates,2010,All fields of education,NFQ Level 7,Athlone IT,Number,290
Number of Graduates,2010,All fields of education,NFQ Level 7,St Angela's College of Home Economics,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 7,IT Blanchardstown,Number,70
Number of Graduates,2010,All fields of education,NFQ Level 7,University College Cork,Number,10
Number of Graduates,2010,All fields of education,NFQ Level 7,Cork IT,Number,790
Number of Graduates,2010,All fields of education,NFQ Level 7,IT Carlow,Number,220
Number of Graduates,2010,All fields of education,NFQ Level 7,Dublin City University,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 7,Dundalk IT,Number,300
Number of Graduates,2010,All fields of education,NFQ Level 7,"Dun Laoghaire Institute of Art, Design and Technology",Number,70
Number of Graduates,2010,All fields of education,NFQ Level 7,University College Dublin,Number,20
Number of Graduates,2010,All fields of education,NFQ Level 7,Dublin Institute of Technology,Number,300
Number of Graduates,2010,All fields of education,NFQ Level 7,Galway-Mayo IT,Number,520
Number of Graduates,2010,All fields of education,NFQ Level 7,"National University of Ireland, Galway",Number,70
Number of Graduates,2010,All fields of education,NFQ Level 7,Limerick IT,Number,220
Number of Graduates,2010,All fields of education,NFQ Level 7,University of Limerick,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 7,Letterkenny IT,Number,260
Number of Graduates,2010,All fields of education,NFQ Level 7,Mater Dei Institute,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 7,Maynooth University,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 7,Mary Immaculate College,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 7,St. Patrick's College,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 7,Royal College of Surgeons,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 7,IT Sligo,Number,430
Number of Graduates,2010,All fields of education,NFQ Level 7,IT Tallaght,Number,230
Number of Graduates,2010,All fields of education,NFQ Level 7,IT Tralee,Number,170
Number of Graduates,2010,All fields of education,NFQ Level 7,Trinity College Dublin,Number,20
Number of Graduates,2010,All fields of education,NFQ Level 7,Technological University Dublin,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 7,Waterford IT,Number,290
Number of Graduates,2010,All fields of education,NFQ Level 8,All Institutions,Number,21660
Number of Graduates,2010,All fields of education,NFQ Level 8,National College of Art and Design,Number,140
Number of Graduates,2010,All fields of education,NFQ Level 8,Athlone IT,Number,390
Number of Graduates,2010,All fields of education,NFQ Level 8,St Angela's College of Home Economics,Number,80
Number of Graduates,2010,All fields of education,NFQ Level 8,IT Blanchardstown,Number,100
Number of Graduates,2010,All fields of education,NFQ Level 8,University College Cork,Number,2490
Number of Graduates,2010,All fields of education,NFQ Level 8,Cork IT,Number,750
Number of Graduates,2010,All fields of education,NFQ Level 8,IT Carlow,Number,410
Number of Graduates,2010,All fields of education,NFQ Level 8,Dublin City University,Number,1250
Number of Graduates,2010,All fields of education,NFQ Level 8,Dundalk IT,Number,450
Number of Graduates,2010,All fields of education,NFQ Level 8,"Dun Laoghaire Institute of Art, Design and Technology",Number,240
Number of Graduates,2010,All fields of education,NFQ Level 8,University College Dublin,Number,2630
Number of Graduates,2010,All fields of education,NFQ Level 8,Dublin Institute of Technology,Number,1460
Number of Graduates,2010,All fields of education,NFQ Level 8,Galway-Mayo IT,Number,500
Number of Graduates,2010,All fields of education,NFQ Level 8,"National University of Ireland, Galway",Number,2410
Number of Graduates,2010,All fields of education,NFQ Level 8,Limerick IT,Number,530
Number of Graduates,2010,All fields of education,NFQ Level 8,University of Limerick,Number,1480
Number of Graduates,2010,All fields of education,NFQ Level 8,Letterkenny IT,Number,190
Number of Graduates,2010,All fields of education,NFQ Level 8,Mater Dei Institute,Number,70
Number of Graduates,2010,All fields of education,NFQ Level 8,Maynooth University,Number,1110
Number of Graduates,2010,All fields of education,NFQ Level 8,Mary Immaculate College,Number,580
Number of Graduates,2010,All fields of education,NFQ Level 8,St. Patrick's College,Number,510
Number of Graduates,2010,All fields of education,NFQ Level 8,Royal College of Surgeons,Number,200
Number of Graduates,2010,All fields of education,NFQ Level 8,IT Sligo,Number,460
Number of Graduates,2010,All fields of education,NFQ Level 8,IT Tallaght,Number,230
Number of Graduates,2010,All fields of education,NFQ Level 8,IT Tralee,Number,170
Number of Graduates,2010,All fields of education,NFQ Level 8,Trinity College Dublin,Number,2020
Number of Graduates,2010,All fields of education,NFQ Level 8,Technological University Dublin,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 8,Waterford IT,Number,790
Number of Graduates,2010,All fields of education,NFQ Level 9,All Institutions,Number,6960
Number of Graduates,2010,All fields of education,NFQ Level 9,National College of Art and Design,Number,20
Number of Graduates,2010,All fields of education,NFQ Level 9,Athlone IT,Number,70
Number of Graduates,2010,All fields of education,NFQ Level 9,St Angela's College of Home Economics,Number,10
Number of Graduates,2010,All fields of education,NFQ Level 9,IT Blanchardstown,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 9,University College Cork,Number,990
Number of Graduates,2010,All fields of education,NFQ Level 9,Cork IT,Number,80
Number of Graduates,2010,All fields of education,NFQ Level 9,IT Carlow,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 9,Dublin City University,Number,690
Number of Graduates,2010,All fields of education,NFQ Level 9,Dundalk IT,Number,40
Number of Graduates,2010,All fields of education,NFQ Level 9,"Dun Laoghaire Institute of Art, Design and Technology",Number,20
Number of Graduates,2010,All fields of education,NFQ Level 9,University College Dublin,Number,1310
Number of Graduates,2010,All fields of education,NFQ Level 9,Dublin Institute of Technology,Number,580
Number of Graduates,2010,All fields of education,NFQ Level 9,Galway-Mayo IT,Number,40
Number of Graduates,2010,All fields of education,NFQ Level 9,"National University of Ireland, Galway",Number,710
Number of Graduates,2010,All fields of education,NFQ Level 9,Limerick IT,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 9,University of Limerick,Number,510
Number of Graduates,2010,All fields of education,NFQ Level 9,Letterkenny IT,Number,10
Number of Graduates,2010,All fields of education,NFQ Level 9,Mater Dei Institute,Number,30
Number of Graduates,2010,All fields of education,NFQ Level 9,Maynooth University,Number,370
Number of Graduates,2010,All fields of education,NFQ Level 9,Mary Immaculate College,Number,150
Number of Graduates,2010,All fields of education,NFQ Level 9,St. Patrick's College,Number,160
Number of Graduates,2010,All fields of education,NFQ Level 9,Royal College of Surgeons,Number,140
Number of Graduates,2010,All fields of education,NFQ Level 9,IT Sligo,Number,30
Number of Graduates,2010,All fields of education,NFQ Level 9,IT Tallaght,Number,10
Number of Graduates,2010,All fields of education,NFQ Level 9,IT Tralee,Number,10
Number of Graduates,2010,All fields of education,NFQ Level 9,Trinity College Dublin,Number,820
Number of Graduates,2010,All fields of education,NFQ Level 9,Technological University Dublin,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 9,Waterford IT,Number,180
Number of Graduates,2010,All fields of education,NFQ Level 10,All Institutions,Number,500
Number of Graduates,2010,All fields of education,NFQ Level 10,National College of Art and Design,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,Athlone IT,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,St Angela's College of Home Economics,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,IT Blanchardstown,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,University College Cork,Number,70
Number of Graduates,2010,All fields of education,NFQ Level 10,Cork IT,Number,10
Number of Graduates,2010,All fields of education,NFQ Level 10,IT Carlow,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,Dublin City University,Number,50
Number of Graduates,2010,All fields of education,NFQ Level 10,Dundalk IT,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,"Dun Laoghaire Institute of Art, Design and Technology",Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,University College Dublin,Number,110
Number of Graduates,2010,All fields of education,NFQ Level 10,Dublin Institute of Technology,Number,10
Number of Graduates,2010,All fields of education,NFQ Level 10,Galway-Mayo IT,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,"National University of Ireland, Galway",Number,60
Number of Graduates,2010,All fields of education,NFQ Level 10,Limerick IT,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,University of Limerick,Number,40
Number of Graduates,2010,All fields of education,NFQ Level 10,Letterkenny IT,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,Mater Dei Institute,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,Maynooth University,Number,40
Number of Graduates,2010,All fields of education,NFQ Level 10,Mary Immaculate College,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,St. Patrick's College,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,Royal College of Surgeons,Number,10
Number of Graduates,2010,All fields of education,NFQ Level 10,IT Sligo,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,IT Tallaght,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,IT Tralee,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,Trinity College Dublin,Number,100
Number of Graduates,2010,All fields of education,NFQ Level 10,Technological University Dublin,Number,0
Number of Graduates,2010,All fields of education,NFQ Level 10,Waterford IT,Number,10
Number of Graduates,2010,Education,All NFQ Levels,All Institutions,Number,2390
Number of Graduates,2010,Education,All NFQ Levels,National College of Art and Design,Number,20
Number of Graduates,2010,Education,All NFQ Levels,Athlone IT,Number,0
Number of Graduates,2010,Education,All NFQ Levels,St Angela's College of Home Economics,Number,50
Number of Graduates,2010,Education,All NFQ Levels,IT Blanchardstown,Number,0
Number of Graduates,2010,Education,All NFQ Levels,University College Cork,Number,150
Number of Graduates,2010,Education,All NFQ Levels,Cork IT,Number,0
Number of Graduates,2010,Education,All NFQ Levels,IT Carlow,Number,0
Number of Graduates,2010,Education,All NFQ Levels,Dublin City University,Number,90
Number of Graduates,2010,Education,All NFQ Levels,Dundalk IT,Number,0
Number of Graduates,2010,Education,All NFQ Levels,"Dun Laoghaire Institute of Art, Design and Technology",Number,0
Number of Graduates,2010,Education,All NFQ Levels,University College Dublin,Number,150
Number of Graduates,2010,Education,All NFQ Levels,Dublin Institute of Technology,Number,30
Number of Graduates,2010,Education,All NFQ Levels,Galway-Mayo IT,Number,0
Number of Graduates,2010,Education,All NFQ Levels,"National University of Ireland, Galway",Number,180
Number of Graduates,2010,Education,All NFQ Levels,Limerick IT,Number,10
Number of Graduates,2010,Education,All NFQ Levels,University of Limerick,Number,100
Number of Graduates,2010,Education,All NFQ Levels,Letterkenny IT,Number,0
Number of Graduates,2010,Education,All NFQ Levels,Mater Dei Institute,Number,90
Number of Graduates,2010,Education,All NFQ Levels,Maynooth University,Number,80
Number of Graduates,2010,Education,All NFQ Levels,Mary Immaculate College,Number,550
Number of Graduates,2010,Education,All NFQ Levels,St. Patrick's College,Number,510
Number of Graduates,2010,Education,All NFQ Levels,Royal College of Surgeons,Number,0
Number of Graduates,2010,Education,All NFQ Levels,IT Sligo,Number,0
Number of Graduates,2010,Education,All NFQ Levels,IT Tallaght,Number,0
Number of Graduates,2010,Education,All NFQ Levels,IT Tralee,Number,0
Number of Graduates,2010,Education,All NFQ Levels,Trinity College Dublin,Number,380
Number of Graduates,2010,Education,All NFQ Levels,Technological University Dublin,Number,0
Number of Graduates,2010,Education,All NFQ Levels,Waterford IT,Number,10
Number of Graduates,2010,Education,NFQ Level 6,All Institutions,Number,10
Number of Graduates,2010,Education,NFQ Level 6,National College of Art and Design,Number,0
Number of Graduates,2010,Education,NFQ Level 6,Athlone IT,Number,0
Number of Graduates,2010,Education,NFQ Level 6,St Angela's College of Home Economics,Number,0
Number of Graduates,2010,Education,NFQ Level 6,IT Blanchardstown,Number,0
Number of Graduates,2010,Education,NFQ Level 6,University College Cork,Number,0
Number of Graduates,2010,Education,NFQ Level 6,Cork IT,Number,0
Number of Graduates,2010,Education,NFQ Level 6,IT Carlow,Number,0
Number of Graduates,2010,Education,NFQ Level 6,Dublin City University,Number,0
Number of Graduates,2010,Education,NFQ Level 6,Dundalk IT,Number,0
Number of Graduates,2010,Education,NFQ Level 6,"Dun Laoghaire Institute of Art, Design and Technology",Number,0
Number of Graduates,2010,Education,NFQ Level 6,University College Dublin,Number,0
Number of Graduates,2010,Education,NFQ Level 6,Dublin Institute of Technology,Number,0
Number of Graduates,2010,Education,NFQ Level 6,Galway-Mayo IT,Number,0
Number of Graduates,2010,Education,NFQ Level 6,"National University of Ireland, Galway",Number,10
Number of Graduates,2010,Education,NFQ Level 6,Limerick IT,Number,0
Number of Graduates,2010,Education,NFQ Level 6,University of Limerick,Number,0
Number of Graduates,2010,Education,NFQ Level 6,Letterkenny IT,Number,0
Number of Graduates,2010,Education,NFQ Level 6,Mater Dei Institute,Number,0
Number of Graduates,2010,Education,NFQ Level 6,Maynooth University,Number,0
Number of Graduates,2010,Education,NFQ Level 6,Mary Immaculate College,Number,0
Number of Graduates,2010,Education,NFQ Level 6,St. Patrick's College,Number,0
Number of Graduates,2010,Education,NFQ Level 6,Royal College of Surgeons,Number,0
Number of Graduates,2010,Education,NFQ Level 6,IT Sligo,Number,0
Number of Graduates,2010,Education,NFQ Level 6,IT Tallaght,Number,0
Number of Graduates,2010,Education,NFQ Level 6,IT Tralee,Number,0
Number of Graduates,2010,Education,NFQ Level 6,Trinity College Dublin,Number,0
Number of Graduates,2010,Education,NFQ Level 6,Technological University Dublin,Number,0
Number of Graduates,2010,Education,NFQ Level 6,Waterford IT,Number,0
Number of Graduates,2010,Education,NFQ Level 7,All Institutions,Number,0
Number of Graduates,2010,Education,NFQ Level 7,National College of Art and Design,Number,0
Number of Graduates,2010,Education,NFQ Level 7,Athlone IT,Number,0
Number of Graduates,2010,Education,NFQ Level 7,St Angela's College of Home Economics,Number,0
Number of Graduates,2010,Education,NFQ Level 7,IT Blanchardstown,Number,0
Number of Graduates,2010,Education,NFQ Level 7,University College Cork,Number,0
Number of Graduates,2010,Education,NFQ Level 7,Cork IT,Number,0
Number of Graduates,2010,Education,NFQ Level 7,IT Carlow,Number,0
Number of Graduates,2010,Education,NFQ Level 7,Dublin City University,Number,0
Number of Graduates,2010,Education,NFQ Level 7,Dundalk IT,Number,0
Number of Graduates,2010,Education,NFQ Level 7,"Dun Laoghaire Institute of Art, Design and Technology",Number,0
Number of Graduates,2010,Education,NFQ Level 7,University College Dublin,Number,0
Number of Graduates,2010,Education,NFQ Level 7,Dublin Institute of Technology,Number,0
Number of Graduates,2010,Education,NFQ Level 7,Galway-Mayo IT,Number,0
Number of Graduates,2010,Education,NFQ Level 7,"National University of Ireland, Galway",Number,0
Number of Graduates,2010,Education,NFQ Level 7,Limerick IT,Number,0
Number of Graduates,2010,Education,NFQ Level 7,University of Limerick,Number,0
Number of Graduates,2010,Education,NFQ Level 7,Letterkenny IT,Number,0
Number of Graduates,2010,Education,NFQ Level 7,Mater Dei Institute,Number,0
Number of Graduates,2010,Education,NFQ Level 7,Maynooth University,Number,0
Number of Graduates,2010,Education,NFQ Level 7,Mary Immaculate College,Number,0
Number of Graduates,2010,Education,NFQ Level 7,St. Patrick's College,Number,0
Number of Graduates,2010,Education,NFQ Level 7,Royal College of Surgeons,Number,0
Number of Graduates,2010,Education,NFQ Level 7,IT Sligo,Number,0
Number of Graduates,2010,Education,NFQ Level 7,IT Tallaght,Number,0
Number of Graduates,2010,Education,NFQ Level 7,IT Tralee,Number,0
Number of Graduates,2010,Education,NFQ Level 7,Trinity College Dublin,Number,0
Number of Graduates,2010,Education,NFQ Level 7,Technological University Dublin,Number,0
Number of Graduates,2010,Education,NFQ Level 7,Waterford IT,Number,0
Number of Graduates,2010,Education,NFQ Level 8,All Institutions,Number,1550
Number of Graduates,2010,Education,NFQ Level 8,National College of Art and Design,Number,10
Number of Graduates,2010,Education,NFQ Level 8,Athlone IT,Number,0
Number of Graduates,2010,Education,NFQ Level 8,St Angela's College of Home Economics,Number,40
Number of Graduates,2010,Education,NFQ Level 8,IT Blanchardstown,Number,0
Number of Graduates,2010,Education,NFQ Level 8,University College Cork,Number,30
Number of Graduates,2010,Education,NFQ Level 8,Cork IT,Number,0
Number of Graduates,2010,Education,NFQ Level 8,IT Carlow,Number,0
Number of Graduates,2010,Education,NFQ Level 8,Dublin City University,Number,60
Number of Graduates,2010,Education,NFQ Level 8,Dundalk IT,Number,0
Number of Graduates,2010,Education,NFQ Level 8,"Dun Laoghaire Institute of Art, Design and Technology",Number,0
Number of Graduates,2010,Education,NFQ Level 8,University College Dublin,Number,0
Number of Graduates,2010,Education,NFQ Level 8,Dublin Institute of Technology,Number,30
Number of Graduates,2010,Education,NFQ Level 8,Galway-Mayo IT,Number,0
Number of Graduates,2010,Education,NFQ Level 8,"National University of Ireland, Galway",Number,160
Number of Graduates,2010,Education,NFQ Level 8,Limerick IT,Number,10
Number of Graduates,2010,Education,NFQ Level 8,University of Limerick,Number,90
Number of Graduates,2010,Education,NFQ Level 8,Letterkenny IT,Number,0
Number of Graduates,2010,Education,NFQ Level 8,Mater Dei Institute,Number,60
Number of Graduates,2010,Education,NFQ Level 8,Maynooth University,Number,0
Number of Graduates,2010,Education,NFQ Level 8,Mary Immaculate College,Number,420
Number of Graduates,2010,Education,NFQ Level 8,St. Patrick's College,Number,360
Number of Graduates,2010,Education,NFQ Level 8,Royal College of Surgeons,Number,0
Number of Graduates,2010,Education,NFQ Level 8,IT Sligo,Number,0
Number of Graduates,2010,Education,NFQ Level 8,IT Tallaght,Number,0
Number of Graduates,2010,Education,NFQ Level 8,IT Tralee,Number,0
Number of Graduates,2010,Education,NFQ Level 8,Trinity College Dublin,Number,280
Number of Graduates,2010,Education,NFQ Level 8,Technological University Dublin,Number,0
Number of Graduates,2010,Education,NFQ Level 8,Waterford IT,Number,0
Number of Graduates,2010,Education,NFQ Level 9,All Institutions,Number,820
Number of Graduates,2010,Education,NFQ Level 9,National College of Art and Design,Number,0
Number of Graduates,2010,Education,NFQ Level 9,Athlone IT,Number,0
Number of Graduates,2010,Education,NFQ Level 9,St Angela's College of Home Economics,Number,10
Number of Graduates,2010,Education,NFQ Level 9,IT Blanchardstown,Number,0
Number of Graduates,2010,Education,NFQ Level 9,University College Cork,Number,120
Number of Graduates,2010,Education,NFQ Level 9,Cork IT,Number,0
Number of Graduates,2010,Education,NFQ Level 9,IT Carlow,Number,0
Number of Graduates,2010,Education,NFQ Level 9,Dublin City University,Number,20
Number of Graduates,2010,Education,NFQ Level 9,Dundalk IT,Number,0
Number of Graduates,2010,Education,NFQ Level 9,"Dun Laoghaire Institute of Art, Design and Technology",Number,0
Number of Graduates,2010,Education,NFQ Level 9,University College Dublin,Number,150
Number of Graduates,2010,Education,NFQ Level 9,Dublin Institute of Technology,Number,0
Number of Graduates,2010,Education,NFQ Level 9,Galway-Mayo IT,Number,0
Number of Graduates,2010,Education,NFQ Level 9,"National University of Ireland, Galway",Number,10
Number of Graduates,2010,Education,NFQ Level 9,Limerick IT,Number,0
Number of Graduates,2010,Education,NFQ Level 9,University of Limerick,Number,10
Number of Graduates,2010,Education,NFQ Level 9,Letterkenny IT,Number,0
Number of Graduates,2010,Education,NFQ Level 9,Mater Dei Institute,Number,30
Number of Graduates,2010,Education,NFQ Level 9,Maynooth University,Number,80
Number of Graduates,2010,Education,NFQ Level 9,Mary Immaculate College,Number,130
Number of Graduates,2010,Education,NFQ Level 9,St. Patrick's College,Number,150
Number of Graduates,2010,Education,NFQ Level 9,Royal College of Surgeons,Number,0
Number of Graduates,2010,Education,NFQ Level 9,IT Sligo,Number,0
Number of Graduates,2010,Education,NFQ Level 9,IT Tallaght,Number,0
Number of Graduates,2010,Education,NFQ Level 9,IT Tralee,Number,0
Number of Graduates,2010,Education,NFQ Level 9,Trinity College Dublin,Number,100
Number of Graduates,2010,Education,NFQ Level 9,Technological University Dublin,Number,0
Number of Graduates,2010,Education,NFQ Level 9,Waterford IT,Number,10
Number of Graduates,2010,Education,NFQ Level 10,All Institutions,Number,10
Number of Graduates,2010,Education,NFQ Level 10,National College of Art and Design,Number,0
Number of Graduates,2010,Education,NFQ Level 10,Athlone IT,Number,0
Number of Graduates,2010,Education,NFQ Level 10,St Angela's College of Home Economics,Number,0
Number of Graduates,2010,Education,NFQ Level 10,IT Blanchardstown,Number,0
Number of Graduates,2010,Education,NFQ Level 10,University College Cork,Number,0
Number of Graduates,2010,Education,NFQ Level 10,Cork IT,Number,0
Number of Graduates,2010,Education,NFQ Level 10,IT Carlow,Number,0
Number of Graduates,2010,Education,NFQ Level 10,Dublin City University,Number,0
Number of Graduates,2010,Education,NFQ Level 10,Dundalk IT,Number,0
Number of Graduates,2010,Education,NFQ Level 10,"Dun Laoghaire Institute of Art, Design and Technology",Number,0
Number of Graduates,2010,Education,NFQ Level 10,University College Dublin,Number,0
Number of Graduates,2010,Education,NFQ Level 10,Dublin Institute of Technology,Number,0
Number of Graduates,2010,Education,NFQ Level 10,Galway-Mayo IT,Number,0
Number of Graduates,2010,Education,NFQ Level 10,"National University of Ireland, Galway",Number,0
Number of Graduates,2010,Education,NFQ Level 10,Limerick IT,Number,0
Number of Graduates,2010,Education,NFQ Level 10,University of Limerick,Number,0
Number of Graduates,2010,Education,NFQ Level 10,Letterkenny IT,Number,0
Number of Graduates,2010,Education,NFQ Level 10,Mater Dei Institute,Number,0
Number of Graduates,2010,Education,NFQ Level 10,Maynooth University,Number,0
Number of Graduates,2010,Education,NFQ Level 10,Mary Immaculate College,Number,0
Number of Graduates,2010,Education,NFQ Level 10,St. Patrick's College,Number,0
Number of Graduates,2010,Education,NFQ Level 10,Royal College of Surgeons,Number,0
Number of Graduates,2010,Education,NFQ Level 10,IT Sligo,Number,0
Number of Graduates,2010,Education,NFQ Level 10,IT Tallaght,Number,0
Number of Graduates,2010,Education,NFQ Level 10,IT Tralee,Number,0
Number of Graduates,2010,Education,NFQ Level 10,Trinity College Dublin,Number,0
Number of Graduates,2010,Education,NFQ Level 10,Technological University Dublin,Number,0
Number of Graduates,2010,Education,NFQ Level 10,Waterford IT,Number,0
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,All Institutions,Number,5420
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,National College of Art and Design,Number,140
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,Athlone IT,Number,30
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,St Angela's College of Home Economics,Number,0
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,IT Blanchardstown,Number,0
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,University College Cork,Number,720
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,Cork IT,Number,140
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,IT Carlow,Number,40
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,Dublin City University,Number,220
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,Dundalk IT,Number,60
